Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2017-03-31,284.64,300.75,284.64,296.98,46148339,13602917.38,429461.31
2017-04-03,301.73,310.38,300.61,309.07,45635987,14014070.78,446944.63
2017-04-05,313.69,318.81,310.29,318.14,40997068,12910386.18,460063.78
2017-04-06,316.79,325.76,315.26,323.42,51465945,16537975.81,467704.41
2017-04-07,319.56,322.41,315.34,316.25,32407417,10343188.48,457332.66
2017-04-10,317.02,320.37,309.66,310.57,31282076,9825093.63,449123.03
2017-04-11,312.04,314.87,308.04,308.55,32788042,10194384.9,446196.84
2017-04-12,310.9,311.72,303.78,304.42,27906517,8556264.45,440230.63
2017-04-13,304.42,308.79,302.93,306.85,12926173,3969077.5,443742.06
2017-04-17,306.9,313.77,306.9,312.93,12035125,3735038.98,452536.94
2017-04-18,314.76,317.02,307.35,308.07,16283802,5101601.28,445497.78
2017-04-19,307.8,310.84,305.22,307.75,11765757,3620655.36,445042.63
2017-04-20,310.05,311.8,306.7,307.92,8533622,2631919.1,445286.47
2017-04-21,310.38,319.49,309.94,315.33,30735600,9705482.24,455999.59
2017-04-24,316.8,322.64,314.81,318.68,25938432,8273693.7,460858.5
2017-04-25,328.26,330.0,320.64,322.14,37378080,12125713.41,465865.72
2017-04-26,322.64,323.77,315.35,318.47,17043008,5446671.36,460549.63
2017-04-27,318.59,320.2,315.26,316.9,12781472,4047372.54,458289.88
2017-04-28,316.96,319.33,312.74,313.69,12046467,3802054.66,453640.31
2017-05-02,315.22,315.22,307.19,308.15,18901788,5846767.62,445625.53
2017-05-03,309.57,310.44,306.9,308.04,9658638,2977965.31,445479.22
2017-05-04,309.15,310.18,304.44,305.31,14605768,4480138.75,441528.72
2017-05-05,306.13,307.43,297.9,298.64,15858858,4791006.21,431871.94
2017-05-08,299.03,301.16,296.41,297.1,16334961,4877180.93,429644.72
2017-05-09,297.68,299.85,296.84,299.11,21458509,6414062.59,432554.75
2017-05-10,300.11,306.58,299.18,305.57,23288432,7082604.03,441902.63
2017-05-11,306.7,307.97,303.9,305.67,14013965,4288166.91,442048.94
2017-05-12,305.79,306.67,302.19,303.63,7649028,2324243.2,439090.13
2017-05-15,304.96,304.96,299.82,302.2,6850575,2070378.75,437025.47
2017-05-16,302.64,309.57,301.5,304.94,12867279,3936121.34,440992.22
2017-05-17,304.2,307.11,303.02,304.22,10008925,3047263.23,439951.75
2017-05-18,301.33,303.53,297.7,298.43,9953826,2990177.79,431579.31
2017-05-19,299.7,300.31,294.53,296.52,13027116,3871939.58,428815.59
2017-05-22,298.24,299.84,295.7,297.71,8948367,2661318.4,430556.09
2017-05-23,298.06,299.0,292.73,293.53,9376976,2769246.98,424508.16
2017-05-24,293.97,295.36,291.18,291.77,14565707,4266122.24,421955.69
2017-05-25,292.28,295.07,291.49,292.83,26354765,7721843.2,423500.19
2017-05-26,293.17,302.27,292.28,300.67,21788216,6467102.72,434831.88
2017-05-29,300.6,307.0,300.29,305.08,24423682,7428268.54,441204.97
2017-05-30,304.85,306.83,303.19,305.63,9819551,2996431.62,442001.59
2017-05-31,307.35,307.56,300.33,301.43,16697520,5055552.51,435937.41
2017-06-01,299.64,301.28,297.46,298.64,9693237,2896998.14,431889.22
2017-06-02,300.15,300.99,296.11,297.85,11686910,3484908.54,430751.16
2017-06-05,298.19,301.5,295.85,298.88,11015918,3290662.66,432246.88
2017-06-06,299.92,299.92,294.76,295.16,9751183,2894269.95,426865.56
2017-06-07,294.8,301.73,294.31,301.05,11386189,3399718.66,435384.66
2017-06-08,301.28,302.36,298.59,299.41,8035062,2406881.79,433011.0
2017-06-09,302.42,304.19,299.25,300.31,14067543,4241088.77,434311.63
2017-06-12,298.25,298.97,296.11,296.66,8573212,2546372.61,429027.84
2017-06-13,296.92,298.35,294.76,295.51,6125929,1816467.33,427369.53
2017-06-14,295.86,305.77,295.86,305.21,53823071,16312963.07,441400.06
2017-06-15,305.77,313.64,305.57,311.16,28763117,8921027.58,450000.44
2017-06-16,312.32,313.82,307.86,312.25,33256975,10354166.78,451577.44
2017-06-19,312.56,318.32,312.56,316.85,15491331,4908755.46,458226.91
2017-06-20,316.79,319.74,316.44,317.54,10311799,3279484.16,459234.88
2017-06-21,316.52,321.06,315.72,319.71,20326239,6482764.8,462372.66
2017-06-22,321.39,324.97,321.0,322.11,22487870,7271102.98,465835.56
2017-06-23,322.86,324.21,321.65,322.83,31663213,10234862.59,466876.06
2017-06-27,321.96,324.44,320.39,323.12,33135643,10680534.02,467298.78
2017-06-28,323.75,323.75,313.77,314.43,15827702,5012497.41,454731.47
2017-06-29,314.77,317.02,312.54,313.13,13113577,4120928.77,452845.56
